FID,DNA_ID,Sample_ID,TDMilk,TDFat,TDPro,TDSCCS,Fat,Protein,Lactose,Solids,SNF,Urea,FPD,SCC
145,201148310021_R01C01,138,2,4.5,3.6,9.1,4.45,3.61,3.9,12.55,8.1,26.9,596.231,7035
245,201148310020_R09C01,138,2,4.5,3.6,9.1,4.45,3.61,3.9,12.55,8.1,26.9,596.231,7035
59,201148310007_R06C01,970,3,5.6,3.8,6.5,5.63,3.8,4.665,14.85,9.22,15.8,597.949,1103
101,201148310008_R03C01,1343,3,5.9,3.3,6.3,5.92,3.33,4.496,14.49,8.57,15.9,607.496,958
212,201148310006_R04C02,1431,3,4.6,3.3,5.5,4.63,3.34,4.367,13.08,8.45,13.6,590.32,581
247,201148310020_R10C01,27,4,4.4,3.2,7.3,4.4,3.21,4.561,12.97,8.57,33.9,607.99,1913
249,201148310020_R11C01,1250,4,7.5,4,6.2,7.5,3.99,4.425,16.5,9,31.6,590.399,923
111,201148310008_R08C01,1322,4,4.6,2.6,5.9,6.92,4.53,4.472,16.58,9.67,NA,NA,1324
244,201148310020_R08C02,1459,4,5.8,3.6,4,5.84,3.6,4.648,14.87,9.04,15.3,579.038,205
23,201148310012_R12C01,24,5,4.2,2.6,5.4,4.2,2.6,4.563,12.16,7.95,25.4,583.925,526
76,201148310004_R02C02,1342,5,5.3,3.4,6.6,5.33,3.35,4.845,14.37,9.04,18.6,588.96,1241
242,201148310020_R07C02,15,5,5.6,3,5,5.63,3.02,4.693,14.17,8.55,25.1,600.026,411
56,201148310007_R04C02,1455,5,5.1,3.2,6,5.08,3.21,4.84,13.99,8.91,17.9,578.318,782
26,201148310010_R01C02,1341,6,6.7,3,6.7,6.73,3.03,4.493,14.96,8.23,28.9,595.575,1308
240,201148310020_R06C02,1255,6,6.2,3.6,6.8,6.15,3.6,4.385,14.85,8.69,16.3,596.949,1377
4,201148310012_R02C02,21,6,3.2,2.5,4.1,3.21,2.53,4.238,10.72,7.52,31.6,587.823,210
51,201148310007_R02C01,1443,6,5.7,4,6.2,5.72,3.96,4.871,15.32,9.6,15.9,595.51,934
252,201148310020_R12C02,5,7,4.8,3.4,4.8,4.81,3.42,4.9,14.07,9.26,10.7,604.439,337
40,201148310010_R08C02,4,8,5.1,3.7,5.2,5.13,3.66,4.863,14.44,9.31,30.8,583.51,459
73,201148310004_R01C01,1327,8,6.5,3.5,7.7,6.5,3.53,4.534,15.25,8.75,21.8,600.781,2560
97,201148310008_R01C01,8,8,2.2,3,4.8,10.08,2.75,4.713,18.34,8.26,38.5,608.176,1573
154,201148310021_R10C01,14,8,3.2,2.6,6.1,3.22,2.62,4.009,10.58,7.36,26,583.464,843
243,201148310020_R08C01,1255,8,3.3,2.5,6.2,3.28,2.53,4.24,10.81,7.54,19.4,580.436,915
136,201148310015_R08C02,919,8,4,2.6,3.3,3.95,2.6,4.523,11.88,7.94,30.3,572.921,124
221,201148310006_R09C01,1250,8,4.1,2.9,4.7,5.44,3.28,4.62,14.17,8.72,NA,NA,1279
167,201148310018_R06C01,3,9,2.2,3,4.8,3,3.03,4.546,11.44,8.45,26.3,605.764,276
17,201148310012_R09C01,973,10,4.3,3.3,7.1,4.31,3.25,4.397,12.71,8.4,14,601.538,1774
14,201148310012_R07C02,5,11,4.8,3,4.8,4.77,3.04,4.733,13.42,8.65,30.4,597.32,353
55,201148310007_R04C01,9,11,2.9,2.2,3.4,2.93,2.21,4.542,10.56,7.64,33.7,579.665,134
60,201148310007_R06C02,80,11,0,0,NA,2.82,2.68,4.58,10.92,8.1,27,570.204,135
88,201148310004_R08C02,3,11,3.6,2.7,4.3,3.61,2.71,4.38,11.47,7.86,31.5,582.661,246
234,201148310020_R03C02,96,11,2.9,2.7,3.6,3.32,2.83,4.623,11.65,8.32,25.1,581.626,147
74,201148310004_R01C02,2,12,3.9,2.8,4.3,3.92,2.75,4.525,12.06,8.14,28.5,587.845,253
81,201148310004_R05C01,134,12,3.7,3.4,3.6,3.81,3.35,4.823,12.89,9.08,27.7,587.255,174
37,201148310010_R07C01,8500,12,4.4,3.1,4.2,4.35,3.06,4.656,12.93,8.58,33.5,592.296,233
48,201148310010_R12C02,24,12,5.5,1.7,6.5,5.53,1.67,4.489,12.77,7.24,12.5,579.798,1154
67,201148310007_R10C01,7,13,3.1,2.7,4,3.13,2.71,4.642,11.35,8.21,24.6,578.82,199
61,201148310007_R07C01,3,15,3.7,2.7,5.3,3.67,2.74,4.679,11.97,8.3,27.9,585.301,480
82,201148310004_R05C02,4500,15,3.6,2.8,4.8,3.62,2.81,4.625,11.92,8.29,36.9,589.41,337
276,201148310023_R12C02,4(b),16,2.9,2.3,3.7,2.9,2.28,4.491,10.57,7.67,20.8,580.144,160
162,201148310018_R03C02,72414,NA,NA,NA,NA,3.55,2.64,4.667,11.75,8.2,NA,NA,389
184,201148310019_R02C02,32515,NA,NA,NA,NA,3.06,2.75,4.471,11.11,8.05,NA,NA,403
105,201148310008_R05C01,101,NA,NA,NA,NA,3.43,3.25,4.459,11.86,8.43,14.6,590.556,478
187,201148310019_R04C01,7217,NA,NA,NA,NA,3.48,2.85,4.419,11.54,8.06,18,583.166,229
47,201148310010_R12C01,1451,NA,NA,NA,NA,8.9,3.85,4.301,17.65,8.75,NA,NA,762
58,201148310007_R05C02,9,NA,NA,NA,NA,4.85,3.47,4.543,13.65,8.8,18.5,597.724,193
161,201148310018_R03C01,58,NA,NA,NA,NA,2.1,2.35,4.533,9.89,7.79,23.7,582.139,783
170,201148310018_R07C02,67,NA,NA,NA,NA,2.5,2.68,4.416,10.41,7.91,31,587.46,288
131,201148310015_R06C01,159,1,2.9,3.7,3.8,2.94,3.67,4.71,12.18,9.23,16.1,596.039,175
135,201148310015_R08C01,1463,2,4.8,2.7,8.4,6.66,4.88,4.184,16.25,9.59,NA,NA,5228
85,201148310004_R07C01,1332,3,4.3,3.7,8.6,4.27,3.66,4.127,12.67,8.4,16.4,591.774,4747
149,201148310021_R05C01,161,3,3.9,3.3,6.4,3.92,3.33,4.882,13.05,9.12,30.9,592.788,1084
146,201148310021_R02C01,142,4,4.3,3.1,6.9,4.34,3.09,4.552,12.81,8.46,23.7,597.17,1501
15,201148310012_R08C01,1435,4,3.7,2.9,6.3,5.23,3.99,4.727,14.74,9.51,NA,NA,2115
215,201148310006_R06C01,1412,4,5.1,3.4,6.5,5.1,3.41,4.869,14.24,9.13,18.5,586.256,1143
50,201148310007_R01C02,990,5,4.8,3.7,8.6,4.8,3.71,4.4,13.61,8.81,15.1,576.833,4730
90,201148310004_R09C02,1446,5,6.1,3.4,7.2,6.14,3.41,4.831,15.19,9.05,18.5,593.095,1880
129,201148310015_R05C01,1425,5,4.8,3.6,9.6,4.8,3.62,4.589,13.75,8.95,12.7,587.823,13195
147,201148310021_R03C01,148,5,4.1,3.3,6.7,4.1,3.28,4.552,12.75,8.65,31.5,595.186,1320
148,201148310021_R04C01,159,5,5.1,4.1,6.6,5.07,4.1,4.774,14.8,9.73,25.1,608.84,1208
54,201148310007_R03C02,880,5,6.1,3.7,4,6.13,3.72,4.705,15.34,9.21,16.1,602.425,203
